Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Glimmervoid,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Mountain,Spire of Industry,Spire of Industry,Spire of Industry,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Etched Champion,Etched Champion,Hazoret the Fervent,Master of Etherium,Memnite,Memnite,Ornithopter,Ornithopter,Ornithopter,Ornithopter,Signal Pest,Signal Pest,Signal Pest,Signal Pest,Steel Overseer,Steel Overseer,Steel Overseer,Steel Overseer,Vault Skirge,Vault Skirge,Vault Skirge,Vault Skirge,Galvanic Blast,Galvanic Blast,Galvanic Blast,Galvanic Blast,Cranial Plating,Cranial Plating,Cranial Plating,Cranial Plating,Mox Opal,Mox Opal,Mox Opal,Mox Opal,Springleaf Drum,Springleaf Drum,Springleaf Drum,Springleaf Drum,Welding Jar
Breeding Pool,Cavern of Souls,Cavern of Souls,Cavern of Souls,Cavern of Souls,Flooded Strand,Flooded Strand,Horizon Canopy,Horizon Canopy,Horizon Canopy,Plains,Sacred Foundry,Temple Garden,Unclaimed Territory,Unclaimed Territory,Unclaimed Territory,Unclaimed Territory,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Avacyn\'s Pilgrim,Avacyn\'s Pilgrim,Avacyn\'s Pilgrim,Avacyn\'s Pilgrim,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Champion of the Parish,Champion of the Parish,Champion of the Parish,Champion of the Parish,Mantis Rider,Mantis Rider,Mantis Rider,Mantis Rider,Meddling Mage,Meddling Mage,Meddling Mage,Meddling Mage,Noble Hierarch,Noble Hierarch,Noble Hierarch,Noble Hierarch,Reflector Mage,Reflector Mage,Reflector Mage,Reflector Mage,Thalia\'s Lieutenant,Thalia\'s Lieutenant,Thalia\'s Lieutenant,Thalia\'s Lieutenant,"Thalia, Guardian of Thraben","Thalia, Guardian of Thraben","Thalia, Guardian of Thraben","Thalia, Guardian of Thraben",Collected Company,Collected Company,Collected Company,Collected Company
Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blood Crypt,Blooming Marsh,Forest,Grove of the Burnwillows,Grove of the Burnwillows,Grove of the Burnwillows,Grove of the Burnwillows,Overgrown Tomb,Stomping Ground,Swamp,Swamp,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Archfiend of Ifnir,Archfiend of Ifnir,Deadshot Minotaur,Deadshot Minotaur,Deadshot Minotaur,Deadshot Minotaur,Desert Cerodon,Desert Cerodon,Desert Cerodon,Desert Cerodon,Horror of the Broken Lands,Horror of the Broken Lands,Horror of the Broken Lands,Horror of the Broken Lands,Monstrous Carabid,Monstrous Carabid,Monstrous Carabid,Monstrous Carabid,Simian Spirit Guide,Simian Spirit Guide,Simian Spirit Guide,Street Wraith,Street Wraith,Street Wraith,Street Wraith,Beast Within,Beast Within,Beast Within,Demonic Dread,Demonic Dread,Demonic Dread,Kari Zev\'s Expertise,Living End,Living End,Living End,Violent Outburst,Violent Outburst,Violent Outburst,Violent Outburst,Blood Moon,Blood Moon
Dryad Arbor,Forest,Horizon Canopy,Horizon Canopy,Horizon Canopy,Horizon Canopy,Plains,Razorverge Thicket,Razorverge Thicket,Temple Garden,Temple Garden,Temple Garden,Temple Garden,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Gladecover Scout,Gladecover Scout,Gladecover Scout,Gladecover Scout,Kor Spiritdancer,Kor Spiritdancer,Kor Spiritdancer,Kor Spiritdancer,Slippery Bogle,Slippery Bogle,Slippery Bogle,Slippery Bogle,Path to Exile,Path to Exile,Daybreak Coronet,Daybreak Coronet,Daybreak Coronet,Daybreak Coronet,Ethereal Armor,Ethereal Armor,Ethereal Armor,Ethereal Armor,Gryff\'s Boon,Hyena Umbra,Hyena Umbra,Hyena Umbra,Hyena Umbra,Leyline of Sanctity,Leyline of Sanctity,Leyline of Sanctity,Leyline of Sanctity,Lunarch Mantle,Rancor,Rancor,Rancor,Rancor,Spider Umbra,Spider Umbra,Spider Umbra,Spider Umbra
Botanical Sanctum,Breeding Pool,Flooded Strand,Flooded Strand,Forest,Forest,Forest,Gavony Township,Ghost Quarter,Hallowed Fountain,Horizon Canopy,Kessig Wolf Run,Misty Rainforest,Misty Rainforest,Misty Rainforest,Plains,Stomping Ground,Temple Garden,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Birds of Paradise,Birds of Paradise,Birds of Paradise,Courser of Kruphix,Courser of Kruphix,Eternal Witness,Kitchen Finks,Knight of the Reliquary,Knight of the Reliquary,Knight of the Reliquary,Knight of the Reliquary,Noble Hierarch,Noble Hierarch,Noble Hierarch,Noble Hierarch,Qasali Pridemage,Reclamation Sage,Scavenging Ooze,Selfless Spirit,Selfless Spirit,Spell Queller,Spell Queller,"Thalia, Heretic Cathar",Tireless Tracker,Voice of Resurgence,Voice of Resurgence,Voice of Resurgence,Voice of Resurgence,Collected Company,Collected Company,Collected Company,Collected Company,Path to Exile,Path to Exile,Path to Exile,Path to Exile,Retreat to Coralhelm,Retreat to Coralhelm
Arid Mesa,Forest,Forest,Forest,Forest,Forest,Grove of the Burnwillows,Mountain,Plains,Plains,Sacred Foundry,Stomping Ground,Stomping Ground,Temple Garden,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Wooded Foothills,Wooded Foothills,Wooded Foothills,Wooded Foothills,Birds of Paradise,Birds of Paradise,Birds of Paradise,Birds of Paradise,Courser of Kruphix,Courser of Kruphix,Eternal Witness,"Kiki-Jiki, Mirror Breaker","Kiki-Jiki, Mirror Breaker",Magus of the Moon,Noble Hierarch,Noble Hierarch,Noble Hierarch,Restoration Angel,Restoration Angel,Restoration Angel,Reveillark,Selfless Spirit,Spellskite,Tireless Tracker,Voice of Resurgence,Voice of Resurgence,Voice of Resurgence,Voice of Resurgence,Wall of Omens,Wall of Roots,Wall of Roots,Chord of Calling,Chord of Calling,Chord of Calling,Chord of Calling,Lightning Bolt,Lightning Bolt,Lightning Bolt,Blood Moon,Blood Moon,"Nahiri, the Harbinger","Nahiri, the Harbinger"
Academy Ruins,Botanical Sanctum,Botanical Sanctum,Botanical Sanctum,Darkslick Shores,Darkslick Shores,Darkslick Shores,Glimmervoid,Glimmervoid,Glimmervoid,Glimmervoid,Inventors\' Fair,Island,River of Tears,Spire of Industry,Spire of Industry,Spire of Industry,Spire of Industry,Abrupt Decay,Ancient Stirrings,Ancient Stirrings,Ancient Stirrings,Ancient Stirrings,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Thoughtseize,Thoughtseize,Thoughtseize,Whir of Invention,Whir of Invention,Whir of Invention,Whir of Invention,Codex Shredder,Codex Shredder,Codex Shredder,Codex Shredder,Ensnaring Bridge,Ensnaring Bridge,Ensnaring Bridge,Grafdigger\'s Cage,Lantern of Insight,Lantern of Insight,Lantern of Insight,Lantern of Insight,Mishra\'s Bauble,Mishra\'s Bauble,Mishra\'s Bauble,Mishra\'s Bauble,Mox Opal,Mox Opal,Mox Opal,Mox Opal,Pithing Needle,Pithing Needle,Pyrite Spellbomb,Pyxis of Pandemonium,Pyxis of Pandemonium,Witchbane Orb
Bloodstained Mire,Bloodstained Mire,Cinder Glade,Cinder Glade,Cinder Glade,Forest,Forest,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Stomping Ground,Stomping Ground,Stomping Ground,Stomping Ground,"Valakut, the Molten Pinnacle","Valakut, the Molten Pinnacle","Valakut, the Molten Pinnacle","Valakut, the Molten Pinnacle",Windswept Heath,Wooded Foothills,Wooded Foothills,Wooded Foothills,Wooded Foothills,Primeval Titan,Primeval Titan,Primeval Titan,Primeval Titan,Sakura-Tribe Elder,Sakura-Tribe Elder,Sakura-Tribe Elder,Sakura-Tribe Elder,Thrashing Brontodon,Explore,Explore,Farseek,Farseek,Farseek,Hour of Promise,Hour of Promise,Lightning Bolt,Lightning Bolt,Lightning Bolt,Scapeshift,Scapeshift,Scapeshift,Scapeshift,Search for Tomorrow,Search for Tomorrow,Search for Tomorrow,Search for Tomorrow,Summoner\'s Pact,Summoner\'s Pact,Sweltering Suns,Sweltering Suns,Prismatic Omen,Prismatic Omen
Academy Ruins,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Field of Ruin,Ghost Quarter,Ghost Quarter,Ghost Quarter,Ghost Quarter,Inventors\' Fair,Ipnu Rivulet,Island,Island,Island,Island,Mountain,"Oboro, Palace in the Clouds",Tectonic Edge,Tolaria West,Tolaria West,Tolaria West,Tolaria West,Whir of Invention,Whir of Invention,Whir of Invention,Whir of Invention,Artificer\'s Intuition,Bottled Cloister,Chalice of the Void,Chalice of the Void,Chalice of the Void,Chalice of the Void,Crucible of Worlds,Engineered Explosives,Engineered Explosives,Ensnaring Bridge,Ensnaring Bridge,Ensnaring Bridge,Ensnaring Bridge,Expedition Map,Expedition Map,Expedition Map,Grafdigger\'s Cage,Mishra\'s Bauble,Mishra\'s Bauble,Mishra\'s Bauble,Mishra\'s Bauble,Mox Opal,Mox Opal,Mox Opal,Mox Opal,Pithing Needle,Sorcerous Spyglass,Sorcerous Spyglass,Tezzeret the Seeker,Tormod\'s Crypt,Welding Jar,Welding Jar,Witchbane Orb
Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blood Crypt,Bloodstained Mire,Bloodstained Mire,Bloodstained Mire,Forest,Mountain,Overgrown Tomb,Overgrown Tomb,Raging Ravine,Raging Ravine,Raging Ravine,Stomping Ground,Swamp,Swamp,Treetop Village,Twilight Mire,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Wooded Foothills,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Dark Confidant,Dark Confidant,Dark Confidant,Dark Confidant,Scavenging Ooze,Scavenging Ooze,Scavenging Ooze,Tarmogoyf,Tarmogoyf,Tarmogoyf,Tarmogoyf,Abrupt Decay,Fatal Push,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Kolaghan\'s Command,Kolaghan\'s Command,Lightning Bolt,Lightning Bolt,Lightning Bolt,Lightning Bolt,Maelstrom Pulse,Terminate,Thoughtseize,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,"Liliana, the Last Hope"
Ancient Ziggurat,Ancient Ziggurat,Ancient Ziggurat,Ancient Ziggurat,Cavern of Souls,Cavern of Souls,Cavern of Souls,Cavern of Souls,Horizon Canopy,Horizon Canopy,Horizon Canopy,Horizon Canopy,Plains,Seachrome Coast,Seachrome Coast,Unclaimed Territory,Unclaimed Territory,Unclaimed Territory,Unclaimed Territory,Champion of the Parish,Champion of the Parish,Champion of the Parish,Champion of the Parish,Kessig Malcontents,Kitesail Freebooter,Kitesail Freebooter,Kitesail Freebooter,Kitesail Freebooter,Mantis Rider,Mantis Rider,Mantis Rider,Mantis Rider,Meddling Mage,Meddling Mage,Meddling Mage,Meddling Mage,Noble Hierarch,Noble Hierarch,Noble Hierarch,Noble Hierarch,Phantasmal Image,Phantasmal Image,Phantasmal Image,Phantasmal Image,Reflector Mage,Reflector Mage,Reflector Mage,Reflector Mage,Thalia\'s Lieutenant,Thalia\'s Lieutenant,Thalia\'s Lieutenant,Thalia\'s Lieutenant,"Thalia, Guardian of Thraben","Thalia, Guardian of Thraben","Thalia, Guardian of Thraben","Thalia, Guardian of Thraben",Aether Vial,Aether Vial,Aether Vial,Aether Vial
Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Glimmervoid,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Island,Spire of Industry,Spire of Industry,Spire of Industry,Spire of Industry,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Etched Champion,Etched Champion,Etched Champion,Glint-Nest Crane,Master of Etherium,Memnite,Memnite,Ornithopter,Ornithopter,Ornithopter,Ornithopter,Signal Pest,Signal Pest,Signal Pest,Signal Pest,Steel Overseer,Steel Overseer,Steel Overseer,Vault Skirge,Vault Skirge,Vault Skirge,Vault Skirge,Galvanic Blast,Galvanic Blast,Galvanic Blast,Galvanic Blast,Cranial Plating,Cranial Plating,Cranial Plating,Cranial Plating,Mox Opal,Mox Opal,Mox Opal,Mox Opal,Springleaf Drum,Springleaf Drum,Springleaf Drum,Springleaf Drum,Welding Jar
Breeding Pool,Breeding Pool,Breeding Pool,Dryad Arbor,Forest,Forest,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Misty Rainforest,Misty Rainforest,Misty Rainforest,Misty Rainforest,Pendelhaven,Pendelhaven,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Blighted Agent,Blighted Agent,Blighted Agent,Blighted Agent,Glistener Elf,Glistener Elf,Glistener Elf,Glistener Elf,Noble Hierarch,Noble Hierarch,Noble Hierarch,Noble Hierarch,Viridian Corrupter,Apostle\'s Blessing,Become Immense,Become Immense,Become Immense,Blossoming Defense,Blossoming Defense,Blossoming Defense,Blossoming Defense,Dismember,Distortion Strike,Groundswell,Groundswell,Groundswell,Might of Old Krosa,Might of Old Krosa,Might of Old Krosa,Might of Old Krosa,Mutagenic Growth,Mutagenic Growth,Mutagenic Growth,Mutagenic Growth,Spell Pierce,Vines of Vastwood,Vines of Vastwood,Vines of Vastwood,Vines of Vastwood,Wild Defiance
Forest,Forest,Forest,Gavony Township,Gavony Township,Gavony Township,Godless Shrine,Horizon Canopy,Overgrown Tomb,Overgrown Tomb,Plains,Plains,Swamp,Temple Garden,Temple Garden,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Birds of Paradise,Birds of Paradise,Birds of Paradise,Loxodon Smiter,Loxodon Smiter,Loxodon Smiter,Loxodon Smiter,Noble Hierarch,Noble Hierarch,Noble Hierarch,Noble Hierarch,Scavenging Ooze,Scavenging Ooze,Scavenging Ooze,"Thalia, Heretic Cathar","Thalia, Heretic Cathar",Troll Ascetic,Troll Ascetic,Voice of Resurgence,Voice of Resurgence,Voice of Resurgence,Voice of Resurgence,Wilt-Leaf Liege,Wilt-Leaf Liege,Wilt-Leaf Liege,Wilt-Leaf Liege,Abrupt Decay,Lingering Souls,Lingering Souls,Lingering Souls,Lingering Souls,Path to Exile,Path to Exile,Path to Exile,Thoughtseize,Thoughtseize,Worship
Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Glimmervoid,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Mountain,Spire of Industry,Spire of Industry,Spire of Industry,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Etched Champion,Etched Champion,Master of Etherium,Master of Etherium,Memnite,Memnite,Ornithopter,Ornithopter,Ornithopter,Ornithopter,Signal Pest,Signal Pest,Signal Pest,Signal Pest,Steel Overseer,Steel Overseer,Steel Overseer,Steel Overseer,Vault Skirge,Vault Skirge,Vault Skirge,Vault Skirge,Galvanic Blast,Galvanic Blast,Galvanic Blast,Galvanic Blast,Cranial Plating,Cranial Plating,Cranial Plating,Cranial Plating,Mox Opal,Mox Opal,Mox Opal,Mox Opal,Springleaf Drum,Springleaf Drum,Springleaf Drum,Springleaf Drum,Welding Jar
Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blood Crypt,Bloodstained Mire,Bloodstained Mire,Bloodstained Mire,Forest,Forest,Mountain,Overgrown Tomb,Overgrown Tomb,Raging Ravine,Raging Ravine,Raging Ravine,Stomping Ground,Swamp,Swamp,Treetop Village,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Wooded Foothills,Bloodbraid Elf,Bloodbraid Elf,Dark Confidant,Dark Confidant,Dark Confidant,Dark Confidant,Grim Lavamancer,"Kalitas, Traitor of Ghet",Scavenging Ooze,Scavenging Ooze,Scavenging Ooze,Tarmogoyf,Tarmogoyf,Tarmogoyf,Tarmogoyf,Collective Brutality,Fatal Push,Fatal Push,Fatal Push,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Kolaghan\'s Command,Kolaghan\'s Command,Lightning Bolt,Lightning Bolt,Lightning Bolt,Maelstrom Pulse,Terminate,Thoughtseize,Thoughtseize,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,"Liliana, the Last Hope"
